player,nation,squad,comp,age,born,per_90,gls,sh,so_t,so_t_percent,sh_per_90,so_t_per_90,g_per_sh,g_per_so_t,dist,fk,pk,p_katt,x_g,npx_g,npxg_per_sh,g_minus_xg,npg_minus_xg
Ismael Aaneba,FRA,Strasbourg,Ligue 1,21,1999,0.1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Patrick van Aanholt,NED,Crystal Palace,English Premier League,29,1990,19.7,0,18,6,33.3,0.91,0.3,0,0,20.3,3,0,0,1.2,1.2,0.07,-1.2,-1.2
Issah Abbas,GHA,Mainz 05,Bundesliga,21,1998,0.2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Yunis Abdelhamid,MAR,Reims,Ligue 1,32,1987,32.1,3,15,5,33.3,0.47,0.16,0.2,0.6,10.2,0,0,0,1.7,1.7,0.11,1.3,1.3
Sabit Abdulai,GHA,Getafe,La Liga,21,1999,0.7,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Mehdi Abeid,ALG,Nantes,Ligue 1,27,1992,14.7,0,20,0,0,1.36,0,0,NA,22.9,1,0,0,1,1,0.05,-1,-1
Laurent Abergel,FRA,Lorient,Ligue 1,27,1993,32.9,3,30,10,33.3,0.91,0.3,0.1,0.3,25.9,0,0,0,1.3,1.3,0.04,1.7,1.7
Charles Abi,FRA,Saint-Étienne,Ligue 1,20,2000,10.1,3,19,4,21.1,1.87,0.39,0.16,0.75,11.8,0,0,0,2.1,2.1,0.11,0.9,0.9
Matthis Abline,FRA,Rennes,Ligue 1,17,2003,0,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Pape Abou Cisse,SEN,Saint-Étienne,Ligue 1,24,1995,14,0,13,3,23.1,0.93,0.21,0,0,11.3,0,0,0,1.2,1.2,0.09,-1.2,-1.2
David Abraham,ARG,Eint Frankfurt,Bundesliga,34,1986,13.6,1,9,2,22.2,0.66,0.15,0.11,0.5,16,0,0,0,0.7,0.7,0.07,0.3,0.3
Tammy Abraham,ENG,Chelsea,English Premier League,22,1997,11.6,6,32,13,40.6,2.77,1.13,0.19,0.46,9.7,0,0,0,6.4,6.4,0.2,-0.4,-0.4
Amir Abrashi,ALB,Freiburg,Bundesliga,30,1990,0.7,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Gennaro Acampora,ITA,Spezia,Serie A,26,1994,4.9,0,9,0,0,1.84,0,0,NA,25,1,0,0,0.3,0.3,0.03,-0.3,-0.3
Francesco Acerbi,ITA,Lazio,Serie A,32,1988,31.3,0,8,0,0,0.26,0,0,NA,13.1,0,0,0,1,1,0.12,-1,-1
Ragnar Ache,GER,Eint Frankfurt,Bundesliga,22,1998,1.1,1,2,1,50,1.8,0.9,0.5,1,14.7,0,0,0,0.3,0.3,0.13,0.7,0.7
Marcos Acuña,ARG,Sevilla,La Liga,28,1991,25.9,1,18,3,16.7,0.7,0.12,0.06,0.33,20.7,0,0,0,1.1,1.1,0.06,-0.1,-0.1
Che Adams,SCO,Southampton,English Premier League,24,1996,29.6,9,56,31,55.4,1.89,1.05,0.16,0.29,13.1,0,0,0,8.8,8.8,0.16,0.2,0.2
Tyler Adams,USA,RB Leipzig,Bundesliga,21,1999,20.6,1,7,4,57.1,0.34,0.19,0.14,0.25,15.4,0,0,0,0.9,0.9,0.13,0.1,0.1
Sargis Adamyan,ARM,Hoffenheim,Bundesliga,27,1993,5.3,2,21,6,28.6,3.95,1.13,0.1,0.33,14.6,0,0,0,2.2,2.2,0.1,-0.2,-0.2
Tosin Adarabioyo,ENG,Fulham,English Premier League,22,1997,32.8,0,20,5,25,0.61,0.15,0,0,8.8,0,0,0,1.1,1.1,0.05,-1.1,-1.1
Bobby Adekanye,NED,Cádiz,La Liga,21,1999,0.4,0,1,0,0,2.5,0,0,NA,17.5,0,0,0,0.2,0.2,0.17,-0.2,-0.2
Yacine Adli,FRA,Bordeaux,Ligue 1,20,2000,26.9,2,24,9,37.5,0.89,0.33,0.08,0.22,19.9,1,0,0,1.4,1.4,0.06,0.6,0.6
Andrea Adorante,ITA,Parma,Serie A,20,2000,0.1,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Adrián,ESP,Liverpool,English Premier League,33,1987,3,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Martin Agirregabiria,ESP,Alavés,La Liga,24,1996,17.3,0,2,0,0,0.12,0,0,NA,14.3,0,0,0,0.2,0.2,0.1,-0.2,-0.2
Lucien Agoume,FRA,Spezia,Serie A,18,2002,8.9,0,2,0,0,0.23,0,0,NA,20.5,0,0,0,0,0,0.02,0,0
Felix Agu,GER,Werder Bremen,Bundesliga,20,1999,7.8,1,4,1,25,0.51,0.13,0.25,1,19.7,0,0,0,0.6,0.6,0.14,0.4,0.4
Kevin Agudelo,COL,Spezia,Serie A,21,1998,15.1,1,19,4,21.1,1.26,0.27,0.05,0.25,17.3,0,0,0,1.9,1.9,0.1,-0.9,-0.9
Nayef Aguerd,MAR,Rennes,Ligue 1,24,1996,35,3,29,6,20.7,0.83,0.17,0.1,0.5,8.8,0,0,0,2.9,2.9,0.1,0.1,0.1
Sergio Agüero,ARG,Manchester City,English Premier League,32,1988,6.2,4,17,10,58.8,2.74,1.61,0.18,0.3,13.9,0,1,2,3.4,1.8,0.11,0.6,1.2
Ruben Aguilar,FRA,Monaco,Ligue 1,27,1993,24.7,1,8,3,37.5,0.32,0.12,0.13,0.33,9.6,0,0,0,1.2,1.2,0.15,-0.2,-0.2
Naouirou Ahamada,FRA,Stuttgart,Bundesliga,18,2002,2.8,0,5,1,20,1.79,0.36,0,0,22.4,0,0,0,0.3,0.3,0.07,-0.3,-0.3
Matteo Ahlinvi,BEN,Nîmes,Ligue 1,21,1999,10,2,11,6,54.5,1.1,0.6,0.18,0.33,21.8,0,0,0,1.6,1.6,0.14,0.4,0.4
Jean-Eudes Aholou,CIV,Strasbourg,Ligue 1,26,1994,23.8,2,31,6,19.4,1.3,0.25,0.06,0.33,20.9,0,0,0,2.3,2,0.06,-0.3,0
Jean-Eudes Aholou,CIV,Monaco,Ligue 1,26,1994,0.4,0,2,1,50,5,2.5,0,0,15,0,0,0,0.1,0.1,0.05,-0.1,-0.1
Joseph Aidoo,GHA,Celta Vigo,La Liga,24,1995,14.3,0,9,0,0,0.63,0,0,NA,14.6,0,0,0,0.8,0.8,0.09,-0.8,-0.8
Ola Aina,NGA,Fulham,English Premier League,23,1996,29.6,2,14,4,28.6,0.47,0.14,0.14,0.5,25.2,1,0,0,1,1,0.07,1,1
Rayan Aït Nouri,FRA,Angers,Ligue 1,19,2001,2.1,0,1,0,0,0.48,0,0,NA,14.8,0,0,0,0.1,0.1,0.08,-0.1,-0.1
Rayan Aït Nouri,FRA,Wolves,English Premier League,19,2001,15.6,1,16,6,37.5,1.03,0.38,0.06,0.17,19.7,0,0,0,0.6,0.6,0.04,0.4,0.4
Semi Ajayi,NGA,West Brom,English Premier League,26,1993,30.9,2,13,4,30.8,0.42,0.13,0.15,0.5,9,0,0,0,1.3,1.3,0.1,0.7,0.7
Ludovic Ajorque,REU,Strasbourg,Ligue 1,26,1994,33,16,67,30,44.8,2.03,0.91,0.18,0.4,14.3,0,4,5,16.5,12.7,0.19,-0.5,-0.7
Manuel Akanji,SUI,Dortmund,Bundesliga,25,1995,26.1,2,19,4,21.1,0.73,0.15,0.11,0.5,13.4,0,0,0,1.8,1.8,0.09,0.2,0.2
Carlos Akapo,EQG,Cádiz,La Liga,27,1993,9.6,1,2,1,50,0.21,0.1,0.5,1,23.8,0,0,0,0.4,0.4,0.19,0.6,0.6
Marley Aké,FRA,Marseille,Ligue 1,19,2001,1.6,0,4,0,0,2.47,0,0,NA,11.1,0,0,0,1.1,1.1,0.27,-1.1,-1.1
Nathan Aké,NED,Manchester City,English Premier League,25,1995,8.9,1,3,1,33.3,0.34,0.11,0.33,1,16,0,0,0,0.1,0.1,0.04,0.9,0.9
Paul Akouokou,CIV,Betis,La Liga,22,1997,4.2,0,0,0,NA,0,0,NA,NA,NA,0,0,0,0,0,NA,0,0
Jean-Daniel Akpa-Akpro,CIV,Lazio,Serie A,27,1992,11.7,0,12,1,8.3,1.02,0.09,0,0,15.5,0,0,0,0.9,0.9,0.07,-0.9,-0.9
Kevin Akpoguma,NGA,Hoffenheim,Bundesliga,25,1995,13.2,1,2,2,100,0.15,0.15,0.5,0.5,19.7,0,0,0,0.1,0.1,0.03,0.9,0.9
David Alaba,AUT,Bayern Munich,Bundesliga,28,1992,29.7,2,21,6,28.6,0.71,0.2,0.1,0.33,22.3,3,0,0,1.3,1.3,0.06,0.7,0.7
Sofiane Alakouch,MAR,Nîmes,Ligue 1,22,1998,16.7,0,5,0,0,0.3,0,0,NA,21,0,0,0,0.2,0.2,0.04,-0.2,-0.2
Jony Álamo,ESP,Elche,La Liga,18,2001,0.8,0,1,0,0,1.23,0,0,NA,26,0,0,0,0,0,0.02,0,0
Lucas Alario,ARG,Leverkusen,Bundesliga,27,1992,13.8,11,37,18,48.6,2.67,1.3,0.24,0.5,12.6,0,2,2,6.5,5,0.14,4.5,4
Jordi Alba,ESP,Barcelona,La Liga,31,1989,33.6,3,27,11,40.7,0.8,0.33,0.11,0.27,19.6,1,0,0,2.4,2.4,0.09,0.6,0.6
Luis Alberto,ESP,Lazio,Serie A,27,1992,29.1,9,69,29,42,2.37,1,0.13,0.31,20.3,3,0,0,5.5,5.3,0.08,3.5,3.7
